file                bytes_processed  p_value        status  last_ok      final
1_0_2_17_7_1.log    1.250000e+8      7.310000e-12   fail    -            -    
0_1_1_15_1_15.log   1.560000e+8      7.050000e-12   fail    -            -    
0_1_2_7_17_11.log   1.250000e+8      5.210000e-12   fail    -            -    
1_0_1_7_6_15.log    1.560000e+8      4.880000e-12   fail    -            -    
1_0_2_15_11_12.log  1.250000e+8      4.690000e-12   fail    -            -    
0_1_2_1_8_2.log     4.060000e+8      3.110000e-12   fail    -            -    
1_0_2_23_2_4.log    1.250000e+8      2.330000e-12   fail    -            -    
1_0_2_14_13_24.log  1.250000e+8      2.180000e-12   fail    -            -    
1_0_2_12_11_7.log   1.880000e+8      2.020000e-12   fail    -            -    
0_1_2_9_12_28.log   1.560000e+8      1.820000e-12   fail    -            -    
0_1_2_14_9_5.log    2.190000e+8      1.700000e-12   fail    -            -    
1_0_2_9_12_4.log    1.250000e+8      1.510000e-12   fail    -            -    
0_1_2_9_11_19.log   2.190000e+8      1.420000e-12   fail    -            -    
1_0_2_15_10_21.log  1.250000e+8      1.260000e-12   fail    -            -    
1_0_2_22_2_7.log    2.190000e+8      1.180000e-12   fail    -            -    
1_0_2_5_10_19.log   3.130000e+8      1.180000e-12   fail    -            -    
1_0_2_2_22_25.log   1.250000e+8      1.150000e-12   fail    -            -    
0_1_2_13_11_3.log   2.190000e+8      6.620000e-13   fail    -            -    
1_0_0_15_1_15.log   1.560000e+8      6.340000e-13   fail    -            -    
1_0_2_11_12_25.log  2.190000e+8      4.230000e-13   fail    -            -    
0_1_2_10_15_21.log  1.250000e+8      3.240000e-13   fail    -            -    
0_1_0_9_11_16.log   1.560000e+8      3.000000e-13   fail    -            -    
0_1_2_11_13_29.log  1.560000e+8      2.600000e-13   fail    -            -    
0_1_0_3_10_2.log    1.560000e+8      1.700000e-13   fail    -            -    
1_0_2_17_3_4.log    1.880000e+8      1.580000e-13   fail    -            -    
1_0_2_3_14_9.log    1.560000e+8      1.350000e-13   fail    -            -    
1_0_1_7_12_20.log   1.880000e+8      1.180000e-13   fail    -            -    
1_0_2_14_3_23.log   4.060000e+8      1.100000e-13   fail    -            -    
1_0_2_1_18_7.log    1.250000e+8      9.180000e-14   fail    -            -    
0_1_2_18_1_7.log    1.250000e+8      8.280000e-14   fail    -            -    
0_1_2_17_7_31.log   1.560000e+8      6.210000e-14   fail    -            -    
0_1_0_5_16_14.log   1.250000e+8      4.860000e-14   fail    -            -    
0_1_2_23_2_28.log   1.250000e+8      4.390000e-14   fail    -            -    
1_0_1_3_10_2.log    2.190000e+8      2.570000e-14   fail    -            -    
1_0_2_12_9_28.log   4.060000e+8      2.280000e-14   fail    -            -    
0_1_2_12_11_25.log  2.190000e+8      2.080000e-14   fail    -            -    
0_1_2_2_23_4.log    1.250000e+8      1.920000e-14   fail    -            -    
1_0_2_10_5_13.log   4.060000e+8      1.830000e-14   fail    -            -    
0_1_2_17_13_2.log   1.880000e+8      9.260000e-15   fail    -            -    
0_1_2_29_2_12.log   1.250000e+8      8.320000e-15   fail    -            -    
0_1_0_7_12_20.log   1.250000e+8      7.860000e-15   fail    -            -    
0_1_2_11_15_12.log  1.250000e+8      6.260000e-15   fail    -            -    
1_0_2_8_1_2.log     5.000000e+8      5.080000e-15   fail    -            -    
1_0_2_18_1_25.log   1.560000e+8      4.870000e-15   fail    -            -    
1_0_2_14_9_27.log   2.500000e+8      3.340000e-15   fail    -            -    
0_1_0_1_6_10.log    4.060000e+8      2.960000e-15   fail    -            -    
1_0_2_11_12_23.log  1.250000e+8      2.830000e-15   fail    -            -    
1_0_2_13_14_8.log   1.250000e+8      9.010000e-16   fail    -            -    
1_0_2_29_2_20.log   1.250000e+8      7.430000e-16   fail    -            -    
0_1_0_17_15_11.log  1.250000e+8      2.840000e-16   fail    -            -    
0_1_0_1_15_15.log   1.250000e+8      1.930000e-16   fail    -            -    
0_1_2_18_16_5.log   1.250000e+8      1.620000e-16   fail    -            -    
0_1_2_17_7_21.log   1.250000e+8      1.440000e-16   fail    -            -    
1_0_2_19_4_2.log    1.250000e+8      1.390000e-16   fail    -            -    
0_1_2_19_4_30.log   1.250000e+8      2.370000e-17   fail    -            -    
0_1_0_11_19_3.log   1.250000e+8      1.940000e-17   fail    -            -    
1_0_0_10_3_2.log    1.250000e+8      1.430000e-17   fail    -            -    
1_0_2_18_1_27.log   1.250000e+8      1.410000e-17   fail    -            -    
1_0_1_5_16_14.log   1.250000e+8      8.540000e-18   fail    -            -    
1_0_0_23_5_1.log    1.250000e+8      4.290000e-18   fail    -            -    
1_0_1_17_15_11.log  1.250000e+8      2.870000e-18   fail    -            -    
0_1_2_15_10_11.log  1.250000e+8      1.870000e-18   fail    -            -    
1_0_2_17_13_30.log  1.250000e+8      1.330000e-18   fail    -            -    
0_1_2_16_18_27.log  1.250000e+8      1.280000e-18   fail    -            -    
1_0_2_10_15_11.log  1.250000e+8      9.990000e-19   fail    -            -    
1_0_2_1_18_5.log    1.250000e+8      3.080000e-19   fail    -            -    
1_0_2_7_17_21.log   1.250000e+8      1.480000e-19   fail    -            -    
0_1_2_1_18_25.log   1.250000e+8      9.680000e-20   fail    -            -    
1_0_2_2_23_28.log   1.250000e+8      6.140000e-20   fail    -            -    
0_1_2_21_5_1.log    1.250000e+8      1.460000e-20   fail    -            -    
0_1_2_1_18_27.log   1.250000e+8      4.770000e-21   fail    -            -    
0_1_2_18_1_5.log    1.250000e+8      4.480000e-21   fail    -            -    
1_0_2_23_3_3.log    1.250000e+8      1.790000e-21   fail    -            -    
1_0_2_17_7_11.log   1.250000e+8      8.880000e-22   fail    -            -    
1_0_2_16_18_5.log   1.250000e+8      2.470000e-22   fail    -            -    
0_1_2_20_9_29.log   1.250000e+8      1.910000e-22   fail    -            -    
1_0_2_18_16_27.log  1.250000e+8      1.830000e-23   fail    -            -    
0_1_2_23_3_29.log   1.250000e+8      1.380000e-23   fail    -            -    
0_1_2_21_9_19.log   1.250000e+8      2.620000e-24   fail    -            -    
0_1_2_9_20_3.log    1.250000e+8      8.130000e-25   fail    -            -    
1_0_2_2_29_12.log   1.250000e+8      4.560000e-25   fail    -            -    
0_1_2_20_5_22.log   1.250000e+8      4.250000e-25   fail    -            -    
1_0_2_1_1_9.log     1.250000e+8      9.090000e-26   fail    -            -    
1_0_2_20_9_3.log    1.250000e+8      5.050000e-26   fail    -            -    
0_1_2_2_29_20.log   1.250000e+8      2.410000e-26   fail    -            -    
0_1_2_5_20_10.log   1.250000e+8      2.030000e-26   fail    -            -    
1_0_2_5_20_22.log   1.250000e+8      1.400000e-26   fail    -            -    
1_0_1_11_19_3.log   1.250000e+8      5.880000e-27   fail    -            -    
0_1_2_9_21_13.log   1.250000e+8      3.860000e-27   fail    -            -    
1_0_2_20_5_10.log   1.250000e+8      2.860000e-27   fail    -            -    
0_1_1_23_1_5.log    1.250000e+8      9.760000e-28   fail    -            -    
0_1_0_19_3_1.log    1.250000e+8      9.350000e-28   fail    -            -    
1_0_2_13_17_2.log   1.250000e+8      8.940000e-28   fail    -            -    
1_0_2_21_14_12.log  1.250000e+8      7.070000e-28   fail    -            -    
0_1_2_13_17_30.log  1.250000e+8      2.860000e-29   fail    -            -    
1_0_2_21_5_31.log   1.250000e+8      2.810000e-29   fail    -            -    
1_0_2_14_21_20.log  1.250000e+8      2.950000e-31   fail    -            -    
1_0_0_23_1_5.log    1.250000e+8      2.660000e-31   fail    -            -    
1_0_2_17_18_26.log  1.250000e+8      7.090000e-32   fail    -            -    
0_1_2_3_23_3.log    1.250000e+8      3.930000e-32   fail    -            -    
1_0_1_1_23_5.log    1.250000e+8      3.580000e-32   fail    -            -    
0_1_2_3_17_4.log    1.250000e+8      8.720000e-33   fail    -            -    
0_1_2_1_1_9.log     1.250000e+8      7.790000e-33   fail    -            -    
1_0_2_25_10_7.log   1.250000e+8      6.540000e-33   fail    -            -    
0_1_2_18_17_26.log  1.250000e+8      4.090000e-33   fail    -            -    
1_0_2_23_5_31.log   1.250000e+8      3.200000e-33   fail    -            -    
1_0_2_21_9_13.log   1.250000e+8      2.650000e-33   fail    -            -    
1_0_2_3_23_29.log   1.250000e+8      1.770000e-33   fail    -            -    
1_0_2_18_17_6.log   1.250000e+8      7.400000e-34   fail    -            -    
1_0_2_10_25_25.log  1.250000e+8      3.610000e-34   fail    -            -    
0_1_2_14_21_12.log  1.250000e+8      3.310000e-34   fail    -            -    
0_1_2_10_25_7.log   1.250000e+8      3.040000e-34   fail    -            -    
1_0_2_29_1_13.log   1.250000e+8      1.650000e-35   fail    -            -    
1_0_2_3_17_28.log   1.250000e+8      6.220000e-36   fail    -            -    
1_0_0_23_7_1.log    1.250000e+8      3.660000e-36   fail    -            -    
1_0_2_9_21_19.log   1.250000e+8      3.250000e-36   fail    -            -    
0_1_2_25_10_25.log  1.250000e+8      2.920000e-36   fail    -            -    
0_1_2_23_5_1.log    1.250000e+8      1.800000e-36   fail    -            -    
1_0_2_26_5_13.log   1.250000e+8      1.690000e-36   fail    -            -    
0_1_0_13_20_12.log  1.250000e+8      9.840000e-37   fail    -            -    
0_1_2_9_24_21.log   1.250000e+8      7.400000e-37   fail    -            -    
1_0_2_5_26_19.log   1.250000e+8      3.790000e-37   fail    -            -    
1_0_2_9_20_29.log   1.250000e+8      3.230000e-37   fail    -            -    
1_0_0_3_19_1.log    1.250000e+8      2.410000e-37   fail    -            -    
1_0_0_6_23_1.log    1.250000e+8      3.820000e-38   fail    -            -    
0_1_2_28_5_20.log   1.250000e+8      2.570000e-38   fail    -            -    
0_1_0_9_23_4.log    1.250000e+8      2.560000e-39   fail    -            -    
1_0_0_19_11_3.log   1.250000e+8      1.420000e-39   fail    -            -    
0_1_2_8_16_27.log   1.250000e+8      3.700000e-40   fail    -            -    
1_0_1_7_23_1.log    1.250000e+8      3.380000e-40   fail    -            -    
0_1_2_1_1_23.log    1.250000e+8      2.630000e-40   fail    -            -    
0_1_0_7_23_1.log    1.250000e+8      4.530000e-41   fail    -            -    
0_1_1_23_7_1.log    1.250000e+8      4.070000e-41   fail    -            -    
0_1_0_23_6_1.log    1.250000e+8      3.240000e-41   fail    -            -    
1_0_2_1_1_23.log    1.250000e+8      2.930000e-41   fail    -            -    
0_1_1_23_5_1.log    1.250000e+8      1.670000e-41   fail    -            -    
0_1_2_5_26_13.log   1.250000e+8      1.600000e-41   fail    -            -    
0_1_2_5_23_31.log   1.250000e+8      1.280000e-41   fail    -            -    
1_0_1_9_23_4.log    1.250000e+8      1.060000e-41   fail    -            -    
0_1_2_28_7_5.log    1.250000e+8      5.330000e-43   fail    -            -    
1_0_1_13_20_12.log  1.250000e+8      2.870000e-43   fail    -            -    
1_0_1_23_6_1.log    1.250000e+8      2.000000e-43   fail    -            -    
0_1_2_17_18_6.log   1.250000e+8      1.390000e-43   fail    -            -    
0_1_0_1_23_5.log    1.250000e+8      6.370000e-44   fail    -            -    
0_1_2_5_27_26.log   1.250000e+8      6.210000e-44   fail    -            -    
0_1_1_19_11_3.log   1.250000e+8      6.030000e-44   fail    -            -    
0_1_2_21_14_20.log  1.250000e+8      4.650000e-44   fail    -            -    
1_0_2_9_24_11.log   1.250000e+8      2.380000e-44   fail    -            -    
0_1_2_5_30_7.log    1.250000e+8      1.180000e-44   fail    -            -    
0_1_2_24_9_11.log   1.250000e+8      6.860000e-45   fail    -            -    
0_1_1_6_23_1.log    1.250000e+8      5.470000e-45   fail    -            -    
1_0_2_1_29_19.log   1.250000e+8      3.350000e-45   fail    -            -    
1_0_2_29_6_20.log   1.250000e+8      1.230000e-45   fail    -            -    
0_1_2_1_29_13.log   1.250000e+8      4.840000e-47   fail    -            -    
1_0_2_8_16_5.log    1.250000e+8      3.310000e-47   fail    -            -    
1_0_2_5_23_1.log    1.250000e+8      8.490000e-48   fail    -            -    
1_0_2_30_5_7.log    1.250000e+8      8.040000e-48   fail    -            -    
1_0_2_24_9_21.log   1.250000e+8      5.600000e-48   fail    -            -    
1_0_2_5_27_6.log    1.250000e+8      2.390000e-48   fail    -            -    
0_1_2_6_29_20.log   1.250000e+8      3.500000e-49   fail    -            -    
1_0_2_5_30_25.log   1.250000e+8      2.880000e-49   fail    -            -    
0_1_2_5_30_17.log   1.250000e+8      2.650000e-49   fail    -            -    
1_0_2_3_3_6.log     1.250000e+8      1.820000e-49   fail    -            -    
1_0_2_28_7_27.log   1.250000e+8      1.680000e-49   fail    -            -    
0_1_2_26_5_19.log   1.250000e+8      3.580000e-50   fail    -            -    
0_1_1_3_19_1.log    1.250000e+8      1.690000e-50   fail    -            -    
0_1_2_30_5_25.log   1.250000e+8      4.350000e-51   fail    -            -    
0_1_2_5_28_12.log   1.250000e+8      2.980000e-51   fail    -            -    
0_1_2_27_5_6.log    1.250000e+8      4.270000e-52   fail    -            -    
1_0_1_15_17_17.log  1.250000e+8      2.140000e-52   fail    -            -    
0_1_2_3_3_6.log     1.250000e+8      1.860000e-52   fail    -            -    
0_1_2_29_1_19.log   1.250000e+8      4.970000e-53   fail    -            -    
1_0_1_19_3_1.log    1.250000e+8      1.380000e-53   fail    -            -    
1_0_2_27_5_26.log   1.250000e+8      1.310000e-53   fail    -            -    
0_1_2_29_6_12.log   1.250000e+8      1.240000e-53   fail    -            -    
0_1_2_30_5_15.log   1.250000e+8      8.960000e-54   fail    -            -    
1_0_2_28_5_12.log   1.250000e+8      2.850000e-54   fail    -            -    
1_0_2_7_28_5.log    1.250000e+8      1.680000e-57   fail    -            -    
1_0_0_20_3_17.log   1.250000e+8      1.030000e-57   fail    -            -    
0_1_2_3_3_26.log    1.250000e+8      2.790000e-58   fail    -            -    
0_1_0_7_2_10.log    1.250000e+8      2.150000e-58   fail    -            -    
0_1_2_7_28_27.log   1.250000e+8      5.860000e-59   fail    -            -    
1_0_2_30_5_17.log   1.250000e+8      3.260000e-59   fail    -            -    
1_0_2_5_28_20.log   1.250000e+8      3.190000e-61   fail    -            -    
0_1_0_15_17_17.log  1.250000e+8      1.020000e-61   fail    -            -    
0_1_0_9_5_21.log    1.250000e+8      6.770000e-63   fail    -            -    
1_0_2_24_13_20.log  1.250000e+8      3.820000e-63   fail    -            -    
1_0_2_5_30_15.log   1.250000e+8      2.190000e-64   fail    -            -    
0_1_2_7_30_26.log   1.250000e+8      1.340000e-64   fail    -            -    
1_0_2_3_3_26.log    1.250000e+8      3.690000e-68   fail    -            -    
1_0_2_6_29_12.log   1.250000e+8      5.170000e-69   fail    -            -    
1_0_2_29_7_30.log   1.250000e+8      2.080000e-69   fail    -            -    
1_0_1_9_5_21.log    1.250000e+8      3.080000e-71   fail    -            -    
1_0_2_4_19_30.log   1.250000e+8      3.760000e-72   fail    -            -    
0_1_1_20_3_17.log   1.250000e+8      9.470000e-73   fail    -            -    
0_1_2_4_19_2.log    1.250000e+8      2.220000e-73   fail    -            -    
1_0_2_30_7_26.log   1.250000e+8      3.500000e-74   fail    -            -    
0_1_2_9_14_27.log   1.250000e+8      8.150000e-75   fail    -            -    
0_1_2_29_7_2.log    1.250000e+8      5.390000e-76   fail    -            -    
