
=== All PRNGs ===
Rank | Params           | Last Pass | Last Test  | Last Iter   | Total All   | No Anom | P-Value    | Iters
 255 | 0 1 2 2 29 20    | 128KB     | 256KB      | 1F 0S 0U    | 1F 2S 3U    |     465 | 1.0        |     9
 256 | 0 1 2 3 3 6      | 128KB     | 256KB      | 1F 0S 0U    | 1F 2S 3U    |     465 | 1.0        |     9
 257 | 0 1 2 3 23 3     | 128KB     | 256KB      | 1F 0S 0U    | 1F 2S 3U    |     465 | 1.0        |     9
 258 | 0 1 2 11 29 24   | 128KB     | 256KB      | 1F 0S 0U    | 1F 2S 3U    |     465 | 1.0        |     9
 259 | 0 1 2 16 29 17   | 128KB     | 256KB      | 1F 0S 0U    | 1F 2S 3U    |     465 | 1.0        |     9
 260 | 0 1 2 17 13 2    | 128KB     | 256KB      | 1F 0S 0U    | 1F 2S 3U    |     465 | 1.0        |     9
 261 | 1 0 0 3 13 7     | 128KB     | 256KB      | 1F 0S 0U    | 1F 2S 3U    |     465 | 1.0        |     9
 262 | 0 1 2 23 24 25   | 128KB     | 256KB      | 1F 0S 0U    | 1F 2S 5U    |     465 | 1.0        |     9
 263 | 0 1 2 1 4 27     | 128KB     | 256KB      | 1F 0S 0U    | 1F 2S 6U    |     465 | 1.0        |     9
 264 | 0 1 2 29 16 15   | 128KB     | 256KB      | 1F 0S 0U    | 1F 2S 6U    |     465 | 1.0        |     9
 265 | 0 1 1 10 1 30    | 128KB     | 256KB      | 1F 0S 0U    | 1F 3S 0U    |     465 | 1.0        |     9
 266 | 0 1 2 3 14 23    | 128KB     | 256KB      | 1F 0S 0U    | 1F 3S 0U    |     465 | 1.0        |     9
 267 | 0 1 2 5 2 4      | 128KB     | 256KB      | 1F 0S 0U    | 1F 3S 0U    |     465 | 1.0        |     9
 268 | 0 1 2 9 12 28    | 128KB     | 256KB      | 1F 0S 0U    | 1F 3S 0U    |     465 | 1.0        |     9
 269 | 0 1 2 23 2 28    | 128KB     | 256KB      | 1F 0S 0U    | 1F 3S 0U    |     465 | 1.0        |     9
 270 | 1 0 1 5 16 14    | 128KB     | 256KB      | 1F 0S 0U    | 1F 3S 0U    |     465 | 1.0        |     9
 271 | 0 1 1 23 9 29    | 128KB     | 256KB      | 1F 0S 0U    | 1F 3S 1U    |     465 | 1.0        |     9
 272 | 1 0 0 11 9 16    | 128KB     | 256KB      | 1F 0S 0U    | 1F 3S 1U    |     465 | 1.0        |     9
 273 | 0 1 0 3 25 28    | 128KB     | 256KB      | 1F 0S 0U    | 1F 3S 2U    |     465 | 1.0        |     9
 274 | 0 1 0 23 6 1     | 128KB     | 256KB      | 1F 0S 0U    | 1F 3S 3U    |     465 | 1.0        |     9
 275 | 0 1 2 18 16 5    | 128KB     | 256KB      | 1F 0S 0U    | 1F 3S 3U    |     465 | 1.0        |     9
 276 | 0 1 2 27 19 7    | 128KB     | 256KB      | 1F 0S 0U    | 1F 3S 3U    |     465 | 1.0        |     9
 277 | 0 1 2 21 24 15   | 128KB     | 256KB      | 1F 0S 0U    | 1F 3S 4U    |     465 | 1.0        |     9
 278 | 0 1 1 7 15 23    | 128KB     | 256KB      | 1F 0S 0U    | 1F 3S 5U    |     465 | 1.0        |     9
 279 | 0 1 2 25 15 12   | 128KB     | 256KB      | 1F 0S 0U    | 1F 3S 6U    |     465 | 1.0        |     9
 280 | 0 1 0 11 19 3    | 128KB     | 256KB      | 1F 0S 0U    | 1F 4S 0U    |     465 | 1.0        |     9
 281 | 0 1 0 13 3 7     | 128KB     | 256KB      | 1F 0S 0U    | 1F 4S 0U    |     465 | 1.0        |     9
 282 | 1 0 0 23 7 1     | 128KB     | 256KB      | 1F 0S 0U    | 1F 4S 0U    |     465 | 1.0        |     9
 283 | 0 1 0 17 11 4    | 128KB     | 256KB      | 1F 0S 0U    | 1F 4S 1U    |     465 | 1.0        |     9
 284 | 0 1 2 27 31 25   | 128KB     | 256KB      | 1F 0S 0U    | 1F 4S 2U    |     465 | 1.0        |     9
 285 | 0 1 2 28 18 25   | 128KB     | 256KB      | 1F 0S 0U    | 1F 4S 3U    |     465 | 1.0        |     9
 286 | 0 1 0 3 20 17    | 128KB     | 256KB      | 1F 0S 0U    | 1F 5S 0U    |     465 | 1.0        |     9
 287 | 0 1 2 16 8 5     | 128KB     | 256KB      | 1F 0S 0U    | 1F 5S 1U    |     465 | 1.0        |     9
 288 | 0 1 2 17 7 31    | 128KB     | 256KB      | 1F 0S 0U    | 1F 5S 2U    |     465 | 1.0        |     9
 289 | 0 1 2 26 21 25   | 128KB     | 256KB      | 1F 0S 0U    | 1F 5S 6U    |     465 | 1.0        |     9
 290 | 0 1 2 7 17 1     | 128KB     | 256KB      | 1F 0S 0U    | 1F 6S 1U    |     465 | 1.0        |     9
 291 | 0 1 2 30 7 6     | 128KB     | 256KB      | 1F 0S 0U    | 1F 8S 1U    |     465 | 1.0        |     9
 292 | 0 1 2 13 24 20   | 128KB     | 256KB      | 1F 0S 1U    | 1F 0S 1U    |     464 | 1.0        |     9
 293 | 0 1 2 14 25 5    | 128KB     | 256KB      | 1F 0S 1U    | 1F 0S 1U    |     464 | 1.0        |     9
 294 | 0 1 2 23 20 11   | 128KB     | 256KB      | 1F 0S 1U    | 1F 0S 1U    |     464 | 1.0        |     9
 295 | 0 1 1 6 7 15     | 128KB     | 256KB      | 1F 0S 1U    | 1F 0S 2U    |     464 | 1.0        |     9
 296 | 0 1 2 14 13 8    | 128KB     | 256KB      | 1F 0S 1U    | 1F 0S 2U    |     464 | 1.0        |     9
 297 | 0 1 2 17 3 28    | 128KB     | 256KB      | 1F 0S 1U    | 1F 0S 2U    |     464 | 1.0        |     9
 298 | 1 0 0 3 11 29    | 128KB     | 256KB      | 1F 0S 1U    | 1F 0S 2U    |     464 | 1.0        |     9
 299 | 1 0 1 3 20 17    | 128KB     | 256KB      | 1F 0S 1U    | 1F 0S 2U    |     464 | 1.0        |     9
 300 | 0 1 2 21 30 17   | 128KB     | 256KB      | 1F 0S 1U    | 1F 0S 3U    |     464 | 1.0        |     9
 301 | 0 1 2 17 29 31   | 128KB     | 256KB      | 1F 1S 0U    | 1F 1S 1U    |     464 | 1.0        |     9
 302 | 1 0 1 5 27 12    | 128KB     | 256KB      | 1F 0S 1U    | 1F 1S 1U    |     464 | 1.0        |     9
 303 | 0 1 1 3 11 29    | 128KB     | 256KB      | 1F 0S 0U    | 1F 1S 2U    |     464 | 1.0        |     9
 304 | 0 1 1 5 9 21     | 128KB     | 256KB      | 1F 0S 1U    | 1F 1S 2U    |     464 | 1.0        |     9
 305 | 0 1 2 5 23 31    | 128KB     | 256KB      | 1F 0S 1U    | 1F 1S 2U    |     464 | 1.0        |     9
 306 | 0 1 2 29 7 2     | 128KB     | 256KB      | 1F 0S 1U    | 1F 1S 2U    |     464 | 1.0        |     9
 307 | 0 1 1 11 9 16    | 128KB     | 256KB      | 1F 0S 1U    | 1F 1S 3U    |     464 | 1.0        |     9
 308 | 0 1 2 5 30 17    | 128KB     | 256KB      | 1F 0S 1U    | 1F 1S 6U    |     464 | 1.0        |     9
 309 | 0 1 2 15 24 31   | 128KB     | 256KB      | 1F 0S 1U    | 1F 2S 3U    |     464 | 1.0        |     9
 310 | 1 0 1 3 25 28    | 128KB     | 256KB      | 1F 0S 1U    | 1F 3S 4U    |     464 | 1.0        |     9
 311 | 0 1 2 28 23 22   | 128KB     | 256KB      | 1F 0S 1U    | 1F 4S 3U    |     464 | 1.0        |     9
 312 | 0 1 0 1 4 13     | 128KB     | 256KB      | 1F 0S 2U    | 1F 0S 5U    |     463 | 1.0        |     9
 313 | 0 1 1 16 5 14    | 128KB     | 256KB      | 5F 1S 2U    | 5F 3S 2U    |     458 | 1.0        |     9
 314 | 0 1 2 23 5 1     | 64KB      | 256KB      | 1F 0S 0U    | 1F 1S 1U    |     465 | 1.0        |     9
 315 | 1 0 0 6 7 15     | 64KB      | 256KB      | 1F 0S 0U    | 1F 2S 6U    |     465 | 1.0        |     9
 316 | 0 1 1 3 13 7     | 64KB      | 256KB      | 1F 0S 0U    | 1F 1S 0U    |     464 | 1.0        |     9
 317 | 0 1 1 4 9 22     | 64KB      | 256KB      | 1F 1S 0U    | 1F 3S 3U    |     464 | 1.0        |     9
 318 | 0 1 0 1 10 30    | 64KB      | 256KB      | 2F 0S 0U    | 2F 2S 1U    |     464 | 1.0        |     9
 319 | 0 1 2 29 17 1    | 64KB      | 256KB      | 5F 2S 1U    | 5F 4S 3U    |     457 | 1.0        |     9
 320 | 1 0 0 10 1 30    | 32KB      | 256KB      | 2F 0S 0U    | 2F 2S 2U    |     464 | 1.0        |     9
 321 | 0 1 1 2 15 9     | 32KB      | 256KB      | 2F 0S 2U    | 2F 2S 3U    |     462 | 1.0        |     9
 322 | 0 1 1 2 7 10     | 32KB      | 256KB      | 2F 3S 1U    | 2F 5S 2U    |     460 | 1.0        |     9
 323 | 1 0 0 8 9 19     | 32KB      | 64KB       | 1F 0S 1U    | 1F 0S 1U    |     338 | 1.0        |     7
 324 | 0 1 2 18 9 30    | 16KB      | 64KB       | 1F 0S 0U    | 1F 5S 0U    |     339 | 1.0        |     7
 325 | 1 0 1 1 31 9     | 16KB      | 64KB       | 1F 3S 2U    | 1F 4S 3U    |     334 | 1.0        |     7
 326 | 0 1 1 31 1 9     | 16KB      | 64KB       | 1F 2S 4U    | 1F 6S 7U    |     331 | 1.0        |     7
 327 | 0 1 2 29 26 20   | 8KB       | 32KB       | 1F 0S 0U    | 1F 2S 4U    |     263 | 1.0        |     6
 328 | 0 1 2 2 23 4     | 8KB       | 16KB       | 2F 0S 0U    | 2F 0S 3U    |     192 | 1.0        |     5
 329 | 0 1 2 29 28 13   | 4KB       | 16KB       | 1F 0S 0U    | 1F 3S 0U    |     192 | 1.0        |     5
 330 | 0 1 2 21 24 25   | 4KB       | 8KB        | 2F 0S 0U    | 2F 0S 0U    |     123 | 1.0        |     4
 331 | 0 1 2 31 15 29   | 4KB       | 8KB        | 3F 0S 0U    | 3F 0S 0U    |     123 | 1.0        |     4
 332 | 0 1 2 18 1 5     | 2KB       | 8KB        | 3F 0S 0U    | 3F 2S 0U    |     123 | 1.0        |     4
 333 | 0 1 2 14 27 26   | 2KB       | 8KB        | 2F 0S 4U    | 2F 2S 5U    |     119 | 1.0        |     4
 334 | 0 1 0 9 23 29    | 2KB       | 4KB        | 2F 0S 0U    | 2F 0S 0U    |      59 | 1.0        |     3
 335 | 0 1 2 29 24 27   | 2KB       | 4KB        | 2F 0S 2U    | 2F 0S 2U    |      57 | 1.0        |     3
 336 | 0 1 2 25 17 27   | 0         | 1KB        | 1F 0S 0U    | 1F 0S 0U    |      15 | 1.0        |     1

Total PRNGs tested: 336

=== 
Top 10 PRNGs ===
Rank | Params           | Last Pass | Last Test  | Last Iter   | Total All   | No Anom | P-Value    | Iters
-----|------------------|-----------|------------|-------------|-------------|---------|------------|-------
   1 | 0 1 0 5 27 12    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
   2 | 0 1 0 9 8 19     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
   3 | 0 1 0 15 7 25    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
   4 | 0 1 0 17 15 11   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
   5 | 0 1 1 6 5 21     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
   6 | 0 1 1 6 23 1     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
   7 | 0 1 1 7 13 25    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
   8 | 0 1 1 15 1 15    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
   9 | 0 1 1 15 17 11   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  10 | 0 1 1 20 3 17    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
