# Run started: 2025-09-20T09:55:17-07:00
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 24): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 23): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 25): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 26): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 28): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 27): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 29): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 32): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 30): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 31): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 33): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 35): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 34): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 36): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 38): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 39): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 40): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 45): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 41): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 43): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 37): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 44): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 42): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 46): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 47): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 48): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 50): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 49): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 52): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 51): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 55): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 53): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 54): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 59): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 61): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 62): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 58): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 56): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 60): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 57): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 63): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 4): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 1): NOT OK
